label	readable
NOMB.=x|GENRE=x|CAS=i	nombre et genre non déterminés régime indirect PROrel (dont, où)
NOMB.=p|GENRE=n|DEGRE=c	pluriel neutre  comparatif ADJqua
NOMB.=p|GENRE=n|DEGRE=p	pluriel neutre  positif ADJqua
NOMB.=p|GENRE=n|DEGRE=s	pluriel neutre  superlatif ADJqua
NOMB.=p|GENRE=n	pluriel neutre  ADJind,ADJcar,ADJord,PROdem,PROind,PROcar,PROord,PROint,PROcom
NOMB.=s|GENRE=f|CAS=r	singulier féminin régime PROrel
NOMB.=s|GENRE=f|CAS=n	singulier féminin nominatif PROrel
NOMB.=s|GENRE=f|DEGRE=c	singulier féminin  comparatif ADJqua
NOMB.=s|GENRE=f|DEGRE=p	singulier féminin  positif ADJqua
NOMB.=s|GENRE=f|DEGRE=s	singulier féminin  superlatif ADJqua
NOMB.=s|GENRE=f	singulier féminin  ADJind,ADJcar,ADJord,PROdem,PROind,PROcar,PROord,PROint,PROcom,VERppe,VERppa,NOMcom,NOMpro,DETdef,DETndf,DETdem,DETind,DETcar,DETrel,DETint,DETcom
NOMB.=s|GENRE=m|CAS=r	singulier masculin régime PROrel
NOMB.=s|GENRE=m|CAS=n	singulier masculin nominatif PROrel
NOMB.=s|GENRE=m|DEGRE=c	singulier masculin  comparatif ADJqua
NOMB.=s|GENRE=m|DEGRE=p	singulier masculin  positif ADJqua
NOMB.=s|GENRE=m|DEGRE=s	singulier masculin  superlatif ADJqua
NOMB.=s|GENRE=m	singulier masculin  ADJind,ADJcar,ADJord,PROdem,PROind,PROcar,PROord,PROint,PROcom,VERppe,VERppa,NOMcom,NOMpro,DETdef,DETndf,DETdem,DETind,DETcar,DETrel,DETint,DETcom
NOMB.=s|GENRE=n|CAS=r	singulier neutre régime PROrel
NOMB.=s|GENRE=n|CAS=n	singulier neutre nominatif PROrel
NOMB.=s|GENRE=n|DEGRE=c	singulier neutre  comparatif ADJqua
NOMB.=s|GENRE=n|DEGRE=p	singulier neutre  positif ADJqua
NOMB.=s|GENRE=n|DEGRE=s	singulier neutre  superlatif ADJqua
NOMB.=s|GENRE=n	singulier neutre  ADJind,ADJcar,ADJord,PROdem,PROind,PROcar,PROord,PROint,PROcom
NOMB.=x|GENRE=x|CAS=r	nombre et genre non établis régime PROrel
NOMB.=x|GENRE=x|CAS=n	nombre et genre non établis nominatif PROrel
NOMB.=x|GENRE=x	non applicable non applicable non applicable VERppa (gérondif seul)
PERS.=0|NOMB.=s|GENRE=n|CAS=n	impersonnel singulier neutre nominatif PROimp
PERS.=0|NOMB.=s|GENRE=n|CAS=r	impersonnel singulier neutre regime PROimp
PERS.=1|NOMB.=p|GENRE=f|CAS=i	1re personne pluriel féminin régime indirect PROper, PROper.PROper
PERS.=1|NOMB.=p|GENRE=f|CAS=n	1re personne pluriel féminin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=p|GENRE=f|CAS=r	1re personne pluriel féminin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=p|GENRE=m|CAS=i	1re personne pluriel masculin régime indirect PROper, PROper.PROper
PERS.=1|NOMB.=p|GENRE=m|CAS=n	1re personne pluriel masculin nominatif PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=p|GENRE=m|CAS=r	1re personne pluriel masculin régime PROper, PROper.PROper,ADJpos,PROpos,DETpos
PERS.=1|NOMB.=p|GENRE=x|CAS=i	1re personne pluriel genre non établi régime indirect PROper, PROper.PROper
